image_name,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,mean_luminance,mean_saturation,dominant_rgb_0,dominant_rgb_1,dominant_rgb_2,dominant_hsv_0,dominant_hsv_1,dominant_hsv_2,warm_percentage,cold_percentage,unique_colors,quantized_colors,luminance_std,contrast_text_vs_background,bright_dark_ratio
187_aug_52,81.15655289668541,87.29189309435282,98.54756570375314,64.31951307845343,65.16776142965399,62.92919965581308,106.40302539168017,60.42270473829726,99.2093145199733,26.44805890559978,40.58079093166947,63.033074061558395,86.8001793307274,60.42270473829726,49,52,64,114,60,64,3.785712015762545,80.94352814059174,60632,16,64.36829076393941,1.8937147550402826,0.18787142085359265
189_aug_133,93.31769488900362,51.4194114610222,51.49121063500258,53.927064424970865,16.682286831339763,14.671270560031445,77.88677077955602,108.50851832731027,96.14652813629324,73.6783103295055,55.194052513462616,51.68840505036256,60.33217041817243,108.50851832731027,49,39,46,159,52,49,72.90268456375838,22.33737738771296,50819,16,24.019537287523825,0.0,0.0005937016004130098
193_aug_47,121.84150943396226,139.98504043126684,133.22520215633423,41.304629944649776,38.6695366486464,41.81535700950646,76.43086253369272,38.309838274932616,140.7977088948787,13.952960696355593,16.526881972612035,38.93163778505656,135.63966541778976,38.309838274932616,118,139,133,81,39,139,0.0,19.35309973045822,6561,16,39.6411116372257,1.1657846519475008,0.5129380053908356
193_aug_79,122.10006518904824,140.53954802259886,135.03259452411996,41.53708076715559,38.73819878130133,41.28386987621164,78.28324641460235,38.73652759669709,141.49228596262495,13.477598136194995,16.993217961737844,39.02177994829075,136.22171192959584,38.73652759669709,119,140,136,84,38,140,0.0,21.773142112125164,7908,16,39.692291335919215,1.1429267252071944,0.5182529335071708
196_aug_165,44.68721518987342,55.20246835443038,62.118291139240505,77.23105241288529,74.06821748907129,71.61611175498632,100.67158227848101,146.6826582278481,62.12981012658228,11.608870572859539,81.21410398819087,71.63659112008051,53.46624793670886,146.6826582278481,9,21,29,102,176,29,0.012658227848101267,93.56962025316456,6423,16,74.68683938705523,4.069845478824492,0.15746835443037974
197_aug_115,58.156235853327296,60.717632412856496,60.88314848347669,72.72995782411677,72.2417556851382,72.22857737199142,83.71972612041648,42.19946808510638,62.107797645993664,39.58288831969567,37.550497066709426,71.8655587597195,60.18502976459936,42.19946808510638,22,25,25,90,31,25,9.455636034404707,39.41828881846989,7628,16,72.36630442484437,3.561007429135152,0.17513580805794476
197_aug_143,60.90658442330559,64.49468638525565,63.68055142687277,73.44242761271487,72.47210891820316,72.86913303464198,78.1005127824019,41.57769768133175,65.33702437574317,35.18145543485425,35.33136178209321,72.2991583371403,63.67307536414981,41.57769768133175,23,27,26,83,38,27,7.405618311533889,27.991230677764566,9422,16,72.78751771427869,3.3109258030210063,0.1849732461355529
197_aug_55,57.96488747496171,61.59302462589843,61.111405679274185,71.70702993867265,70.75070476970838,71.02715827699735,82.13667962766584,43.377930953222574,62.60957935666313,35.332627115720534,35.67042475067039,70.53655298553635,60.78690977966301,43.377930953222574,23,27,26,83,38,27,7.158006362672323,32.3966065747614,7379,16,71.04510817887521,3.2898483199250768,0.17073170731707318
197_aug_95,57.944953762755105,61.44188456632653,61.02455357142857,72.01737201990899,71.1222548169647,71.35821782887936,81.9247050382653,43.210857780612244,62.49111128826531,36.320143896620976,35.650106711083836,70.88802554655403,60.668305779655604,43.210857780612244,22,26,26,90,39,26,7.60921556122449,33.25494260204081,9131,16,71.39356906443058,3.301717623731538,0.17155612244897958
199_aug_28,203.7730800542741,76.66002713704206,50.66607869742198,18.670623931083746,43.37999239311308,13.872503477646198,6.01506105834464,192.51253731343283,203.7730800542741,14.530006981402275,11.541670956160285,18.670623931083746,101.80749910990502,192.51253731343283,197,57,45,2,197,197,100.0,0.0,16180,16,31.36747023488519,1.4211107736196738,0.1775305291723202
19_aug_184,148.04209245155693,148.34743444519427,140.45385254988915,79.94822929397561,78.03041061203106,79.20078286263518,51.01620191844211,24.419912272245252,150.25042779330954,36.91536226731179,23.15727315182784,78.63857108978574,147.7126021245059,24.419912272245252,63,66,60,45,23,66,22.56278318712041,15.619878530801119,42769,16,78.63278123488352,2.245861320883644,0.5334100549503519
1_aug_33,150.19412878787878,143.96602049910874,171.78553921568627,69.64640027092683,72.77710208756281,59.436651464568726,101.84308155080214,49.82079991087344,171.96602049910874,47.92012753567406,37.406332449100105,59.571279276549916,147.29868557263816,49.82079991087344,114,104,148,127,76,148,3.0971479500891266,72.57687165775401,13349,16,70.07060872570842,1.3693394652815924,0.37987410873440286
201_aug_46,44.22102615694165,44.46526853428262,49.567149048134965,54.627479578398386,54.25169285866922,53.769138859271,124.02815353660424,75.08428261878966,51.654070577310016,34.39103723379884,41.23176995620966,53.52588442452245,44.78169837796007,75.08428261878966,27,27,32,120,40,32,29.063612443894133,66.31249032657483,15198,16,54.116494322995564,3.8416706881887084,0.08405045658566786
204_aug_186,43.55983611569742,35.41998410077662,33.70953341894454,68.10356990002866,70.5420465162572,70.93227798625271,9.547932081779082,148.10782934833568,43.568050714445874,25.271259984661835,68.4521842933835,68.12293991658342,37.02702209992051,148.10782934833568,17,8,6,5,165,17,95.88047045394322,0.12026335636682363,5209,16,69.82854575195874,6.959358457472735,0.11946839519761919
